"","country","date","searches"
"245","Indonesia",2003-06-15,0.055
"246","Mexico",2003-06-15,0.074
"247","Philippines",2003-06-15,0.059
"248","Singapore",2003-06-15,0.163
"249","Thailand",2003-06-15,NA
"250","Venezuela",2003-06-15,0.178
"251","Argentina",2003-06-22,0.039
"252","Bolivia",2003-06-22,0.039
"253","Brazil",2003-06-22,0.073
"254","India",2003-06-22,0.165
"255","Indonesia",2003-06-22,0.055
"256","Mexico",2003-06-22,0.056
"257","Philippines",2003-06-22,0.058
"258","Singapore",2003-06-22,0.143
"259","Thailand",2003-06-22,NA
"260","Venezuela",2003-06-22,0.16
"261","Argentina",2003-06-29,0.031
"262","Bolivia",2003-06-29,0.038
"263","Brazil",2003-06-29,0.056
"264","India",2003-06-29,0.17
"265","Indonesia",2003-06-29,0.047
"266","Mexico",2003-06-29,0.071
"267","Philippines",2003-06-29,0.058
"268","Singapore",2003-06-29,0.132
"269","Thailand",2003-06-29,NA
"270","Venezuela",2003-06-29,0.172
"271","Argentina",2003-07-06,0.034
"272","Bolivia",2003-07-06,0.029
"273","Brazil",2003-07-06,0.018
"274","India",2003-07-06,0.195
"275","Indonesia",2003-07-06,0.1
"276","Mexico",2003-07-06,0.086
"277","Philippines",2003-07-06,0.056
"278","Singapore",2003-07-06,0.12
"279","Thailand",2003-07-06,NA
"280","Venezuela",2003-07-06,0.159
"281","Argentina",2003-07-13,0.036
"282","Bolivia",2003-07-13,0.023
"283","Brazil",2003-07-13,0.015
"284","India",2003-07-13,0.174
"285","Indonesia",2003-07-13,0.073
"286","Mexico",2003-07-13,0.072
"287","Philippines",2003-07-13,0.057
"288","Singapore",2003-07-13,0.129
"289","Thailand",2003-07-13,NA
"290","Venezuela",2003-07-13,0.161
"291","Argentina",2003-07-20,0.029
"292","Bolivia",2003-07-20,0.021
"293","Brazil",2003-07-20,0.052
"294","India",2003-07-20,0.187
"295","Indonesia",2003-07-20,0.047
"296","Mexico",2003-07-20,0.065
"297","Philippines",2003-07-20,0.064
"298","Singapore",2003-07-20,0.128
"299","Thailand",2003-07-20,NA
"300","Venezuela",2003-07-20,0.163
"301","Argentina",2003-07-27,0.027
"302","Bolivia",2003-07-27,0.018
"303","Brazil",2003-07-27,0.013
"304","India",2003-07-27,0.18
"305","Indonesia",2003-07-27,0.049
"306","Mexico",2003-07-27,0.068
"307","Philippines",2003-07-27,0.064
"308","Singapore",2003-07-27,0.123
"309","Thailand",2003-07-27,NA
"310","Venezuela",2003-07-27,0.153
"311","Argentina",2003-08-03,0.024
"312","Bolivia",2003-08-03,0.016
"313","Brazil",2003-08-03,0.044
"314","India",2003-08-03,0.116
"315","Indonesia",2003-08-03,0.039
"316","Mexico",2003-08-03,0.095
"317","Philippines",2003-08-03,0.081
"318","Singapore",2003-08-03,0.112
"319","Thailand",2003-08-03,NA
"320","Venezuela",2003-08-03,0.151
"321","Argentina",2003-08-10,0.022
"322","Bolivia",2003-08-10,0.019
"323","Brazil",2003-08-10,0.036
"324","India",2003-08-10,0.101
"325","Indonesia",2003-08-10,0.039
"326","Mexico",2003-08-10,0.092
"327","Philippines",2003-08-10,0.091
"328","Singapore",2003-08-10,0.131
"329","Thailand",2003-08-10,NA
"330","Venezuela",2003-08-10,0.15
"331","Argentina",2003-08-17,0.022
"332","Bolivia",2003-08-17,0.022
"333","Brazil",2003-08-17,0.032
"334","India",2003-08-17,0.1
"335","Indonesia",2003-08-17,0.039
"336","Mexico",2003-08-17,0.089
"337","Philippines",2003-08-17,0.134
"338","Singapore",2003-08-17,0.127
"339","Thailand",2003-08-17,NA
"340","Venezuela",2003-08-17,0.146
"341","Argentina",2003-08-24,0.019
"342","Bolivia",2003-08-24,0.018
"343","Brazil",2003-08-24,0.034
"344","India",2003-08-24,0.103
"345","Indonesia",2003-08-24,0.064
"346","Mexico",2003-08-24,0.063
"347","Philippines",2003-08-24,0.163
"348","Singapore",2003-08-24,0.116
"349","Thailand",2003-08-24,NA
"350","Venezuela",2003-08-24,0.152
"351","Argentina",2003-08-31,0.019
"352","Bolivia",2003-08-31,0.018
"353","Brazil",2003-08-31,0.011
"354","India",2003-08-31,0.135
"355","Indonesia",2003-08-31,0.055
"356","Mexico",2003-08-31,0.084
"357","Philippines",2003-08-31,0.152
"358","Singapore",2003-08-31,0.111
"359","Thailand",2003-08-31,NA
"360","Venezuela",2003-08-31,0.159
"361","Argentina",2003-09-07,0.019
"362","Bolivia",2003-09-07,0.019
"363","Brazil",2003-09-07,0.018
"364","India",2003-09-07,0.143
"365","Indonesia",2003-09-07,0.047
"366","Mexico",2003-09-07,0.137
"367","Philippines",2003-09-07,0.149
"368","Singapore",2003-09-07,0.109
"369","Thailand",2003-09-07,NA
"370","Venezuela",2003-09-07,0.166
"371","Argentina",2003-09-14,0.019
"372","Bolivia",2003-09-14,0.031
"373","Brazil",2003-09-14,0.034
"374","India",2003-09-14,0.196
"375","Indonesia",2003-09-14,0.047
"376","Mexico",2003-09-14,0.165
"377","Philippines",2003-09-14,0.147
"378","Singapore",2003-09-14,0.113
"379","Thailand",2003-09-14,NA
"380","Venezuela",2003-09-14,0.175
"381","Argentina",2003-09-21,0.019
"382","Bolivia",2003-09-21,0.041
"383","Brazil",2003-09-21,0.015
"384","India",2003-09-21,0.242
"385","Indonesia",2003-09-21,0.063
"386","Mexico",2003-09-21,0.124
"387","Philippines",2003-09-21,0.137
"388","Singapore",2003-09-21,0.123
"389","Thailand",2003-09-21,NA
"390","Venezuela",2003-09-21,0.162
"391","Argentina",2003-09-28,0.019
