"","country","date","searches"
"246","Mexico",2003-02-23,NA
"247","Netherlands",2003-02-23,NA
"248","New.Zealand",2003-02-23,NA
"249","Norway",2003-02-23,NA
"250","Paraguay",2003-02-23,NA
"251","Peru",2003-02-23,274
"252","Poland",2003-02-23,NA
"253","Romania",2003-02-23,740
"254","Russia",2003-02-23,NA
"255","South.Africa",2003-02-23,NA
"256","Spain",2003-02-23,NA
"257","Sweden",2003-02-23,NA
"258","Switzerland",2003-02-23,NA
"259","Ukraine",2003-02-23,NA
"260","United.States",2003-02-23,NA
"261","Uruguay",2003-02-23,NA
"262","Argentina",2003-03-02,134
"263","Australia",2003-03-02,NA
"264","Austria",2003-03-02,NA
"265","Belgium",2003-03-02,NA
"266","Bolivia",2003-03-02,427
"267","Brazil",2003-03-02,177
"268","Bulgaria",2003-03-02,NA
"269","Canada",2003-03-02,NA
"270","Chile",2003-03-02,0
"271","France",2003-03-02,NA
"272","Germany",2003-03-02,NA
"273","Hungary",2003-03-02,NA
"274","Japan",2003-03-02,NA
"275","Mexico",2003-03-02,NA
"276","Netherlands",2003-03-02,NA
"277","New.Zealand",2003-03-02,NA
"278","Norway",2003-03-02,NA
"279","Paraguay",2003-03-02,NA
"280","Peru",2003-03-02,270
"281","Poland",2003-03-02,NA
"282","Romania",2003-03-02,864
"283","Russia",2003-03-02,NA
"284","South.Africa",2003-03-02,NA
"285","Spain",2003-03-02,NA
"286","Sweden",2003-03-02,NA
"287","Switzerland",2003-03-02,NA
"288","Ukraine",2003-03-02,NA
"289","United.States",2003-03-02,NA
"290","Uruguay",2003-03-02,NA
"291","Argentina",2003-03-09,136
"292","Australia",2003-03-09,NA
"293","Austria",2003-03-09,NA
"294","Belgium",2003-03-09,NA
"295","Bolivia",2003-03-09,460
"296","Brazil",2003-03-09,223
"297","Bulgaria",2003-03-09,NA
"298","Canada",2003-03-09,NA
"299","Chile",2003-03-09,0
"300","France",2003-03-09,NA
"301","Germany",2003-03-09,NA
"302","Hungary",2003-03-09,NA
"303","Japan",2003-03-09,NA
"304","Mexico",2003-03-09,NA
"305","Netherlands",2003-03-09,NA
"306","New.Zealand",2003-03-09,NA
"307","Norway",2003-03-09,NA
